Comment,Distance,Fo
OK08-DF-Ol25,36.45,79.89574694
OK08-DF-Ol25,72.9,78.61282531
OK08-DF-Ol25,109.34,77.84454459
OK08-DF-Ol25,145.79,76.85344096
OK08-DF-Ol25,182.24,76.59505876
OK08-DF-Ol25,218.69,76.34214813
OK08-DF-Ol25,255.14,76.41730432
OK08-DF-Ol25,291.58,76.57792931
OK08-DF-Ol25,328.03,76.95280571
OK08-DF-Ol26,0,79.50409067
OK08-DF-Ol26,20.27,80.04003308
OK08-DF-Ol26,40.55,79.95247325
OK08-DF-Ol26,60.82,79.83439593
OK08-DF-Ol26,81.09,79.70364621
OK08-DF-Ol26,101.36,79.80339405
OK08-DF-Ol26,121.64,79.67544773
OK08-DF-Ol26,141.91,79.68349794
OK08-DF-Ol26,162.18,79.71625672
OK08-DF-Ol26,182.45,79.44717804
OK08-DF-Ol27,34.7,79.14752145
OK08-DF-Ol27,69.39,78.67025124
OK08-DF-Ol27,104.09,78.35059425
OK08-DF-Ol27,138.79,78.43308074
OK08-DF-Ol27,173.48,78.40992631
OK08-DF-Ol27,208.18,78.29181333
OK08-DF-Ol27,242.88,78.27072353
OK08-DF-Ol27,277.57,78.29746061
OK08-DF-Ol27,312.27,78.22716569
OK08-DF-Ol28,0,77.28318501
OK08-DF-Ol28,60.16,80.65695324
OK08-DF-Ol28,120.32,80.57056566
OK08-DF-Ol28,180.48,80.36110955
OK08-DF-Ol28,240.63,80.48608944
OK08-DF-Ol29,27,80.72425817
OK08-DF-Ol29,54,80.43126128
OK08-DF-Ol29,81,80.08898738
OK08-DF-Ol29,108,80.01057811
OK08-DF-Ol30,0,78.99003628
OK08-DF-Ol30,69.65,78.53514596
OK08-DF-Ol30,139.29,77.97730583
OK08-DF-Ol30,208.94,77.89796545
OK08-DF-Ol30,278.58,77.7989019
OK08-DF-Ol31,39.41,84.15233768
OK08-DF-Ol31,78.82,84.30117335
OK08-DF-Ol31,118.24,84.24043549
OK08-DF-Ol31,157.65,84.23952301
OK08-DF-Ol32,0,79.34683201
OK08-DF-Ol32,98.68,78.6384777
OK08-DF-Ol32,197.36,78.81614184
OK08-DF-Ol32,296.04,75.68286904
OK08-DF-Ol32,394.73,75.58476295
OK08-DF-Ol35,0,78.72749843
OK08-DF-Ol35,13,78.6191852
OK08-DF-Ol35,26,79.06415234
OK08-DF-Ol35,39,79.64847587
OK08-DF-Ol35,52,80.57327573
OK08-DF-Ol35,65,80.73749396
OK08-DF-Ol35,78,80.44938418
OK08-DF-Ol35,91,80.35453127
OK08-DF-Ol35,104,80.45822618
OK08-DF-Ol35,117,80.25835453
OK08-DF-Ol36,0,77.01752727
OK08-DF-Ol36,14.15,78.03831563
OK08-DF-Ol36,28.3,78.11498804
OK08-DF-Ol36,42.45,77.99907712
OK08-DF-Ol36,56.6,77.86446335
OK08-DF-Ol36,70.75,77.88619288
OK08-DF-Ol36,84.9,77.97284761
OK08-DF-Ol36,99.05,77.86940353
OK08-DF-Ol36,113.2,77.95589572
OK08-DF-Ol36,127.35,77.8625793
OK08-DF-Ol37,0,78.69621008
OK08-DF-Ol37,25.61,75.67558661
OK08-DF-Ol37,51.22,75.16980829
OK08-DF-Ol37,76.83,75.07300447
OK08-DF-Ol37,102.44,75.14502299
OK08-DF-Ol37,128.05,75.14549556
OK08-DF-Ol37,153.66,75.22220932
OK08-DF-Ol37,179.27,75.3149348
OK08-DF-Ol37,204.88,75.39895446
OK08-DF-Ol37,230.49,75.27353914
OK08-DF-Ol38,0,79.1785839
OK08-DF-Ol38,17.34,79.82423413
OK08-DF-Ol38,34.68,79.43201449
OK08-DF-Ol38,52.01,79.29230025
OK08-DF-Ol38,69.35,78.66466318
OK08-DF-Ol38,86.69,78.50034472
OK08-DF-Ol38,104.03,78.16966238
OK08-DF-Ol38,121.37,78.05934544
OK08-DF-Ol38,138.7,77.64779339
OK08-DF-Ol38,156.04,77.51891406
OK08-DF-Ol39,18.08,80.4580425
OK08-DF-Ol39,36.15,80.7650387
OK08-DF-Ol39,54.23,80.44718925
OK08-DF-Ol39,72.31,80.46005897
OK08-DF-Ol39,90.39,80.50983478
OK08-DF-Ol39,108.46,80.4021128
OK08-DF-Ol39,126.54,80.4722321
OK08-DF-Ol39,144.62,80.52872554
OK08-DF-Ol39,162.69,80.24548208
OK08-DF-Ol40,0,77.3823263
OK08-DF-Ol40,18.76,79.3106833
OK08-DF-Ol40,37.51,79.06733003
OK08-DF-Ol40,56.27,78.54286113
OK08-DF-Ol40,75.03,77.94671817
OK08-DF-Ol40,93.78,77.41767182
OK08-DF-Ol40,112.54,77.12971676
OK08-DF-Ol40,131.29,76.91230311
OK08-DF-Ol40,150.05,76.86968415
OK08-DF-Ol40,168.81,76.74103565
OK08-DF-Ol41,0,78.6813626
OK08-DF-Ol41,24.25,76.11614703
OK08-DF-Ol41,48.49,75.7202337
OK08-DF-Ol41,72.74,75.54280825
OK08-DF-Ol41,96.99,75.47551703
OK08-DF-Ol41,121.23,75.55940182
OK08-DF-Ol41,145.48,75.44849346
OK08-DF-Ol41,169.73,75.41559969
OK08-DF-Ol41,193.97,75.20618965
OK08-DF-Ol41,218.22,75.44679854
