Sample,Eruption,No,Notes,Note2,Code,Type,Author,,SiO2,Al2O3,TiO2,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,SUM,Mg#,SiO2_SD,Al2O3_SD,TiO2_SD,FeOT_SD,MnO_SD,MgO_SD,CaO_SD,Na2O_SD,K2O_SD,P2O5_SD,
08JFLOK013a,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.56007154,14.53744954,2.697815697,11.24693087,0.203351254,3.89617193,6.66141321,3.762205337,1.139393524,0.295197098,100,0.435629029,,,,,,,,,,,
08JFLOK013a,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.71311335,14.49703768,1.53587794,11.90219817,0.237069009,3.888941735,6.904817941,3.783747033,1.12632984,0.410867298,100,0.42130805,,,,,,,,,,,
08JFLOK013a,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,54.29490589,15.87250187,1.999338661,12.17888009,0.020362161,3.760642044,6.402667498,4.044316364,1.114955152,0.311430273,100,0.407590867,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,57.37064277,15.67069445,1.123268711,11.4894426,0.127943458,3.394600839,6.684784598,2.6368923,1.075118799,0.426611471,100,0.396980496,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.90712217,14.71912165,1.761638052,11.59646477,0.226227802,3.324890848,7.569512227,3.628573541,0.888269348,0.378179594,100,0.389816543,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,56.80672379,13.12889425,2.033235054,12.087382,0.099205947,3.638282563,7.473473357,3.194198043,1.159479025,0.379125972,100,0.401439602,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.61118038,17.16244188,1.454856252,9.327182411,0.231902056,2.749515079,8.376416293,3.900046627,0.895642737,0.290816282,100,0.396438168,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.76225653,15.32512521,1.505676871,10.89345216,0.307606854,3.478145687,7.594647916,3.775720113,0.986573199,0.370795457,100,0.415692258,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.86154831,14.45979013,1.392418861,12.97347331,0.183203373,3.788685504,6.83880771,3.058632495,1.050698306,0.392742001,100,0.394196151,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.10856848,15.36314791,1.242301768,11.57043422,0.228838069,3.655562161,8.381339515,3.04916712,0.91966894,0.480971811,100,0.413134326,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,55.79987523,15.33853585,2.059963149,11.03210075,0.167968123,3.608575006,7.35837707,3.151924407,1.163976743,0.318703676,100,0.421573754,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,56.42330023,15.83384209,1.208102578,9.795160911,0.211648764,3.210297511,8.147074912,3.607919871,1.134497094,0.428156039,100,0.422054565,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,56.81818754,14.20008648,2.017662738,11.39526339,0.166235574,3.48087986,7.221320848,3.369060129,0.920038024,0.411265416,100,0.404985943,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,56.5590657,14.00512699,1.767570579,11.96707428,0.100317763,3.682990795,7.10441619,3.009052159,1.410455539,0.393929999,100,0.406789388,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,54.20185362,15.64743571,1.862986143,11.62438476,0.210694507,3.493309303,7.685038537,3.650357504,1.208916242,0.415023681,100,0.401053966,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,54.26289988,14.63357957,1.846590628,12.47818085,0.225816594,4.445222493,7.12221853,3.258291364,1.259552085,0.467648,100,0.442512429,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,54.06427131,14.66024069,1.863248274,12.18744854,0.166712978,3.63921692,7.918838356,3.673705515,1.265686957,0.560630452,100,0.399521783,,,,,,,,,,,
08JFLOK016b,2008,END2,,MG,L-MG-S,Scoria,Larsen et al. 2013,,53.50630073,14.73338563,1.71698042,12.24946438,0.180021341,5.918535396,7.017126433,3.355391361,0.920269057,0.40252525,100,0.518438339,,,,,,,,,,,
