Sample,Code,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5
10JFLOK002A,L-Scoria-MI,50.94401312,17.27463363,1.049961647,8.878257948,0.16459383,6.729841026,11.83168368,2.506836431,0.487649229,0.132529465
10JFLOK004A,L-Scoria-MI,50.20123777,16.16581865,1.023465201,10.91068823,0.176372498,7.46026819,10.2069174,2.91818756,0.707074569,0.22996993
10JFLOK004A,L-Scoria-MI,50.96631259,16.99436628,1.0468623,9.745541727,0.239147795,6.289227025,11.4495174,2.453058244,0.521963997,0.294002642
10JFLOK004A,L-Scoria-MI,49.72636986,18.87422066,0.286261182,8.97194688,0.151137897,5.846334139,12.89976963,2.804558853,0.439400905,0
10JFLOK004A,L-Scoria-MI,49.37630171,18.83418718,0.631643482,9.855165677,0.150152967,6.466587784,11.74496509,2.531579026,0.40941709,0
10JFLOK004A,L-Scoria-MI,51.25214318,14.20843813,1.175345417,12.18265114,0.178353854,7.966966364,9.395811948,2.907822857,0.732467104,0
08LKOK001,L-Ash-MI,49.51010096,17.15569107,0.950044669,8.765015225,0.183622079,6.991610242,13.81057581,2.131612829,0.203581,0.29814611
08LKOK001,L-Ash-MI,49.54224451,18.888012,2.076980652,7.763040925,0.15915177,6.357062226,11.8963446,2.984846411,0.332316904,0
08LKOK001,L-Ash-MI,50.75538676,18.11046337,1.11186638,8.350827416,0.12095703,7.079513294,11.06346145,2.831075074,0.390760368,0.185688858
08LKOK001,L-Ash-MI,50.52991916,17.66942761,0.955669792,8.354229882,0.165423551,6.957754418,11.97626649,2.560078932,0.397614439,0.433615731
08LKOK001,L-Ash-MI,49.7541733,18.6851671,1.59720842,7.90030691,0.16214543,6.449548143,12.14645645,2.674719482,0.360433294,0.269841467
08LKOK001,L-Ash-MI,47.65832384,14.78646548,1.147576469,12.84932097,0.117046797,7.641653518,13.00746179,2.143061831,0.198518431,0.450570876
08LKOK001,L-Ash-MI,48.603179,14.94998043,0.73165646,12.56509351,0.055973718,7.60742803,12.9259308,2.119005048,0.212900036,0.228852977
08LKOK001,L-Ash-MI,48.32332552,14.32796935,1.657336013,13.2891222,0.045926179,8.009126203,11.54244678,2.136565704,0.290533,0.377649052
08LKOK001,L-Ash-MI,48.05747526,14.42962081,0.94633556,13.1318766,0.045919236,7.951015547,13.09896121,1.838765931,0.12877351,0.371256338
08LKOK001,L-Ash-MI,47.96679695,14.04903628,0.481732538,14.3165084,0.13963262,8.866671342,11.90168607,1.6935442,0.128661485,0.455730123
08LKOK001,L-Ash-MI,47.50611446,14.30073769,0.795428009,13.02459999,0.08383432,7.703775157,13.96839449,1.997053257,0.209585799,0.410476821
08LKOK001,L-Ash-MI,48.43081085,15.69918737,1.332174146,12.02245768,0.125585318,7.258598954,12.52817351,2.107883696,0.252491808,0.24263667
08LKOK001,L-Ash-MI,47.9,15.39,1.07,12.25,0.11,7.42,13.7,1.63,0.21,0.32
08LKOK001,L-Ash-MI,46.84,14.15,1.4,14.07,0.06,8.36,12.84,1.79,0.18,0.31
08LKOK001,L-Ash-MI,48.24687008,14.75072447,0.619023228,12.81810209,0.221650253,7.813670618,13.16822154,1.861063383,0.160746354,0.339927972
08LKOK001,L-Ash-MI,48.46985097,16.65758448,1.084044443,10.87633639,0.122665563,6.495291127,13.18405477,2.461289498,0.2203991,0.428483664
08LKOK001,L-Ash-MI,48.10309133,15.53283261,1.454706446,11.62248659,0.094785399,7.023099225,13.96538143,1.632304352,0.175602424,0.395710204
08LKOK001,L-Ash-MI,50.75706823,15.51391466,1.377132851,11.61483991,0.065003837,6.904118418,9.259566771,3.339717714,0.749702626,0.418934983
08LKOK001,L-Ash-MI,50.52968301,15.81097236,1.400612168,11.38716322,0.170696593,6.669959873,9.154363865,3.649273724,0.754344191,0.472930993
08LKOK001,L-Ash-MI,48.10765368,18.13849641,0.90012389,10.07397172,0.096277718,6.580995305,13.08282977,2.54718478,0.265082343,0.207384381
08LKOK001,L-Ash-MI,47.26907948,17.11012583,0.924790779,11.64946245,0.075818877,6.880563108,13.02688025,2.371335147,0.291304107,0.40063997
08LKOK001,L-Ash-MI,46.76279526,17.35255295,0.658983023,11.96699567,0.123996805,7.037818686,13.3566559,2.355939304,0.219994332,0.164268069
08LKOK001,L-Ash-MI,48.14106363,14.87475018,1.17726792,12.24927367,0.156902431,7.324445316,13.63951831,2.028738435,0.152904917,0.255135197
08LKOK001,L-Ash-MI,47.45218698,17.88899812,1.166023833,12.14408834,0.058799492,7.128691004,10.23011508,3.101424074,0.320905704,0.508767377
08LKOK001,L-Ash-MI,47.8011859,18.13952823,1.074654398,10.96722844,0.049844824,6.359202604,11.42941807,3.126267341,0.578199955,0.474470241
08LKOK001,L-Ash-MI,47.66158345,17.9035437,0.929470762,11.05978608,0.149753614,6.532252629,12.45351051,2.699558476,0.297510513,0.313030262
08LKOK001,L-Ash-MI,47.76478954,17.76349708,0.386426357,11.45197944,0.064179954,6.852301949,12.45994177,2.5320614,0.346830886,0.377991627
08LKOK001,L-Ash-MI,47.33703207,18.09624417,1.004238558,11.13625342,0.056945346,6.619468037,12.82566574,2.334054043,0.28920999,0.300888626
08LKOK001,L-Ash-MI,47.20852595,17.09083108,1.081022174,11.95994385,0.155142384,7.077109267,12.44326132,2.370326447,0.32228354,0.291553989
08LKOK001,L-Ash-MI,47.22392061,18.58469196,0.919214956,11.0782914,0.140574088,6.610970034,12.28677344,2.383777613,0.33398808,0.437797813
08LKOK001,L-Ash-MI,47.76039814,17.80349661,0.85585038,11.18765214,0.126759543,6.609998202,12.22872531,2.769065213,0.306582593,0.351471871
08LKOK001,L-MG-A,55.48230914,15.46570027,1.466932845,11.28706942,0.170864712,3.553550548,7.407558145,3.56499007,1.270231579,0.330793272
08LKOK001,L-MG-A,55.37203217,15.81136526,1.327083115,11.03774556,0.263983105,3.625451173,7.462462349,3.847673786,0.867253449,0.384950033
08LKOK001,L-MG-A,56.3499042,15.75667181,1.625795105,10.78192259,0.368384814,3.531394724,6.452654688,3.528556177,1.249090022,0.355625865
08LKOK001,L-MG-A,54.59012266,14.14607027,1.623192916,11.3659752,0.271931117,4.419028472,9.128446344,3.029257937,1.027220187,0.398754904
08LKOK001,L-MG-A,54.77346254,14.42172279,1.988962743,11.70519064,0.333581708,4.458152633,7.920418333,3.040598758,0.931873346,0.42603651
08LKOK001,L-MG-A,54.32438817,14.33053238,1.465467734,11.87808713,0.332704011,4.461670497,8.568093957,3.252426857,0.976417105,0.410212149
08LKOK001,L-MG-A,54.51414163,13.96040272,1.745228488,11.51483592,0.321292744,4.392991118,8.882462132,3.337331828,0.914806493,0.416506924
08LKOK001,L-MG-A,53.8388645,16.36934539,1.127323175,10.58481197,0.172493077,4.667260344,9.131883809,2.984284113,0.728523144,0.395210476
08LKOK001,L-MG-A,53.18817933,14.40888222,1.36052217,11.47032751,0.313728774,5.206847693,10.02046186,2.788896814,0.837177497,0.404976133
08LKOK001,L-MG-A,53.7618046,15.26987871,0.968925318,11.06715302,0.2458537,4.954220519,10.0035618,2.690588775,0.636998,0.40101556
08LKOK001,L-MG-A,54.15539632,14.11569201,1.253634621,11.8211574,0.304418939,5.218641731,9.104827843,2.677740345,0.862610805,0.48587999
08LKOK001,L-MG-A,52.95284216,14.33815711,1.353340637,11.32859223,0.192148919,5.195047362,10.80519642,2.664444484,0.757066841,0.41316384
08LKOK001,L-MG-A,54.25199884,15.91321446,1.248225206,10.84577499,0.22057194,4.775568823,8.697483765,2.827901045,0.788529904,0.430731037
08LKOK001,L-MG-A,53.75840042,14.25071386,1.549685647,11.9316922,0.299547531,5.284402391,9.069845204,2.663143504,0.794402571,0.398166675
08LKOK001,L-MG-A,54.52474208,14.92581535,0.586012194,10.49958826,0.07482644,5.144589588,10.02567116,2.922958737,0.920837886,0.374958301
08LKOK001,L-MG-A,53.83041287,15.14978758,0.718140531,10.17272085,0.156882314,5.24362365,10.46281304,2.676444983,1.100961422,0.488212761
08LKOK001,L-MG-A,53.79263311,14.67266996,0.736133007,10.12632783,0.113558449,5.25483789,10.88713831,2.862712536,1.081613609,0.472375287
08LKOK001,L-MG-A,54.12814498,14.90883301,0.727358158,10.34957338,0.108489771,5.455578452,10.35883615,2.606143957,0.926400913,0.430641225
08LKOK001,L-MG-A,53.95946256,15.11264219,0.949617107,10.41870862,0.170362033,5.264429774,9.741928789,3.023101896,1.017553281,0.342193745
08LKOK001,L-MG-A,56.1807033,14.3645121,1.261169927,10.92284003,0.127770192,3.736853768,8.223479178,3.294318847,1.478402901,0.409949755
08LKOK001,L-MG-A,56.20277476,14.46208377,1.178487106,10.57972011,0.142767007,3.780288899,8.393621299,3.266852871,1.401866871,0.591537311
08LKOK001,L-MG-A,57.07520321,14.52654511,1.19979432,11.20345069,0.151484705,3.73778551,6.909320917,3.312726486,1.322151444,0.561537608
08LKOK001,L-MG-A,56.30632605,14.26257083,1.15102402,11.43422058,0.183425058,3.794214774,7.646521905,3.347984223,1.342631156,0.531081398
08LKOK001,L-MG-A,55.82824036,14.96078178,0.431176947,10.33022738,0.095799835,5.540884501,9.035680489,2.602200156,0.73236678,0.442641769
08LKOK001,L-MG-A,54.09557114,14.95281452,0.513071919,10.38810002,0.147830522,5.402359236,10.254733,2.835131338,0.932919515,0.477468789
08LKOK001,L-MG-A,55.18808451,16.77672123,1.105299294,10.16208608,0.13526111,3.266273458,7.960087142,3.81774698,1.135662699,0.452777491
08LKOK001,L-MG-A,54.61777524,15.21456138,1.473046141,11.46338198,0.179215203,3.595031279,8.170857633,3.835423651,1.082182658,0.368524834
08LKOK001,L-MG-A,55.84378928,15.33532086,1.187291647,11.53464604,0.13045586,3.706019767,6.881242428,4.124759518,0.999306372,0.257168229
08LKOK001,L-MG-A,55.99767086,14.98515985,1.946818305,11.23406231,0.222429094,3.92813789,6.625347312,3.533196445,1.183403236,0.3437747
08LKOK001,L-MG-A,56.20333152,14.68366728,2.270523532,11.23162534,0.152546672,3.924078222,6.323659988,3.664389751,1.210906163,0.335271542
08LKOK001,L-MG-A,55.24459307,15.3881216,1.517611419,10.84880357,0.243025102,3.757912511,7.03753239,4.230713287,1.313435845,0.418251202
08LKOK001,L-MG-A,56.38036641,17.07848848,1.334335338,9.395595166,0.133735398,3.278204952,7.301179642,3.731874176,1.128745365,0.237475067
08LKOK001,L-MG-A,55.709499,15.4655689,1.308006961,11.06351598,0.138094188,3.915957892,6.917234482,3.847809899,1.218094049,0.416218647
08LKOK001,L-MG-A,56.79490643,15.32775779,1.079711583,10.6241272,0.235160924,3.835282306,6.957795931,3.632945681,1.167116149,0.345196013
08LKOK001,L-MG-A,55.60624208,14.77443334,1.933842134,11.38650409,0.14459817,4.018515961,7.015462168,3.474578305,1.302885858,0.342937896
08LKOK001,L-MG-A,56.64528372,14.43067431,1.41773286,11.13775166,0.198109896,3.929388075,6.790809651,3.719368692,1.326820179,0.404060963
08LKOK001,L-MG-A,55.75642783,14.77334617,1.602028222,11.8063501,0.196437967,3.978375496,6.809851823,3.477077867,1.228401436,0.371703093
08LKOK001,L-MG-A,56.20392507,15.38711871,1.11578198,11.34808419,0.20918245,3.672871371,6.915234633,3.699471413,1.070302236,0.378027942
08LKOK001,L-MG-A,56.7971077,14.52147122,1.693177338,11.09008745,0.197864327,3.887810994,6.963900625,3.289916761,1.165366574,0.393297022
08LKOK001,L-MG-A,56.07763563,14.36018447,2.002532031,11.42866383,0.178032193,3.976202082,6.838697988,3.327582693,1.399010783,0.411458304
08LKOK001,L-MG-A,52.01718914,14.86751546,1.106386093,11.59304992,0,5.924595995,11.14642712,2.502351797,0.524028481,0.318455985
08LKOK001,L-MG-A,51.17069002,14.68770302,1.493439918,11.79619879,0,6.116132061,10.91928061,2.950751237,0.454034969,0.411769377
08LKOK001,L-MG-A,51.20691314,14.75518198,1.877791301,11.82215236,0,5.868025605,11.22180002,2.54752105,0.454403904,0.246210639
08LKOK001,L-MG-A,51.70254287,14.88069502,1.110656905,11.31940473,0,5.890202615,11.19264737,2.929343414,0.518879554,0.455627523
08LKOK001,L-MG-A,51.19956794,14.80425078,1.955170763,11.52932928,0,5.975712395,11.10869387,2.565726422,0.572851812,0.288696742
08LKOK001,L-MG-A,51.54611952,14.68343886,1.257581604,11.97231369,0,5.999052857,10.95419731,2.713169486,0.508425072,0.365701606
08LKOK001,L-MG-A,51.69091634,14.5252953,0.996547288,12.12906938,0,6.039831397,11.14601066,2.521215292,0.513544283,0.437570066
08LKOK001,L-MG-A,51.8375945,15.0542754,1.118213857,11.39883865,0,6.215100143,11.0807431,2.362155069,0.50482155,0.428257732
08LKOK001,L-MG-A,51.53486354,14.73916033,1.528188658,11.30306091,0,6.056281473,10.96726551,2.836842281,0.553907927,0.480429368
08LKOK001,L-MG-A,52.34089214,19.36885281,1.144498492,8.273041161,0,4.057418751,10.7733344,3.151242262,0.550889925,0.339830057
08LKOK001,L-MG-A,54.04892296,15.00666323,2.319558365,11.87818009,0,4.250093225,8.205807597,3.071885747,0.846401406,0.372487384
08LKOK001,L-MG-A,54.26243223,15.58848484,1.495999933,11.62930366,0,4.195321074,8.1361118,3.555198263,0.902977118,0.234171079
08LKOK001,L-MG-A,53.98185676,14.81923353,1.438215598,12.1492409,0,4.444489189,8.366309309,3.353895363,1.003926193,0.442833163
08LKOK001,L-MG-A,53.98189451,14.51289669,1.392001953,12.78347587,0,4.811844161,8.190049004,3.039710165,0.939916967,0.348210676
08LKOK001,L-MG-A,55.12876361,14.11422602,1.77869025,12.22854429,0,4.187012326,7.352966817,3.515781919,1.296455052,0.397559721
08LKOK001,L-MG-A,56.32862348,14.54172448,2.233491662,11.1111909,0,3.584506173,6.858629295,3.677122828,1.055797006,0.60891417
08LKOK001,L-MG-A,55.69069841,14.18702959,2.313974951,10.58098365,0,4.516717571,7.673304227,3.444706377,1.086642535,0.50594269
08LKOK001,L-MG-A,52.50824602,15.22789597,1.073495844,11.27504695,0,5.536174862,10.43898052,2.835847206,0.682304064,0.422008562
08LKOK001,L-MG-A,52.36593326,15.09778616,1.413831195,11.30766889,0,5.538499855,10.35163474,2.777586579,0.732324406,0.414734909
08LKOK001,L-MG-A,52.22657283,14.96514949,1.709270996,11.35321753,0,5.67621177,10.18169389,2.822875225,0.740466681,0.32454159
08LKOK001,L-MG-A,52.5093311,14.80542547,1.94382773,11.3881977,0,5.576547313,9.763995222,2.78871934,0.73408347,0.489872661
08LKOK001,L-MG-A,52.44642098,15.27214253,1.526638608,11.05809567,0,5.653697308,9.972749667,2.915214563,0.758899143,0.396141539
08LKOK001,L-MG-A,52.58333874,14.70153732,2.300130977,11.46312743,0,5.555206299,9.402424204,2.68130011,0.877476405,0.435458519
08LKOK001,L-MG-A,52.70223654,14.80846908,1.437348371,11.71178637,0,5.751315874,9.567511937,2.777082287,0.752556693,0.491692856
08LKOK001,L-MG-A,55.11947921,15.56029139,1.550866938,11.13135747,0,3.726987319,7.059407078,4.125010457,1.3020345,0.424565635
08LKOK001,L-MG-A,54.97484595,15.04872194,1.784446074,11.92237985,0,4.136631688,6.79655012,3.445316468,1.523749677,0.367358241
08LKOK001,L-MG-A,52.93320723,14.81188368,1.673797203,11.46474436,0,5.402988157,9.420855956,3.08850266,0.840646163,0.3633746
08LKOK001,L-MG-A,52.58860428,14.44012234,1.679728508,11.55348279,0,5.641553061,9.966506501,2.891886609,0.912436214,0.325679697
08LKOK001,L-MG-A,52.61704029,14.59811857,1.410899316,11.90019854,0,5.445637071,9.914159994,2.905409045,0.776191284,0.43234589
08LKOK001,L-MG-A,52.81503893,14.55206358,1.413945962,11.56487394,0,5.469308329,10.07014466,2.868404245,0.749710584,0.496509768
08LKOK001,L-MG-A,52.93887095,14.73397558,1.4050724,11.73369635,0,5.511302903,9.474741252,3.076669782,0.714067899,0.411602882
08LKOK001,L-MG-A,52.46391167,14.60006134,1.344308511,11.22204855,0,5.879670181,9.999532459,3.221689556,0.8865167,0.382261031
08LKOK001,L-MG-A,52.07636805,14.86154664,1.407269734,11.82153491,0,5.676174674,9.955187101,3.019481501,0.811427528,0.371009862
08LKOK001,L-MG-A,53.11610094,14.94653481,1.565613975,10.66516609,0,5.284956394,10.09611519,3.215621858,0.725352141,0.384538599
08JFLOK013a,L-MG-S,55.88174339,15.93880432,1.527756395,11.27205431,0.126407177,3.327787824,7.04758736,3.427468452,1.085801638,0.364589139
08JFLOK013a,L-MG-S,54.60589749,15.33349329,1.363006024,11.78041213,0.069394997,4.581613181,7.0375836,3.814448313,1.057215649,0.356935319
08JFLOK013a,L-MG-S,53.48582558,18.42281516,1.723060271,9.940372042,0.208844542,3.33386151,7.963435495,3.559594315,0.964765564,0.397425523
08JFLOK013a,L-MG-S,55.67439899,15.18246264,1.162189099,12.26051854,0.236629477,3.846274416,6.505357085,3.462319809,1.229774767,0.440075173
08JFLOK013a,L-MG-S,56.11410505,17.14629875,1.609570256,9.153820835,0.096219347,2.722373735,7.47312116,4.358004073,0.91867579,0.407811004
08JFLOK013a,L-MG-S,54.75409227,17.05928344,1.384132637,10.36454439,0.12970771,3.429813452,7.412635871,4.336685914,0.821500064,0.307604255
08JFLOK013a,L-MG-S,55.56007154,14.53744954,2.697815697,11.24693087,0.203351254,3.89617193,6.66141321,3.762205337,1.139393524,0.295197098
08JFLOK013a,L-MG-S,55.71311335,14.49703768,1.53587794,11.90219817,0.237069009,3.888941735,6.904817941,3.783747033,1.12632984,0.410867298
08JFLOK013a,L-MG-S,54.29490589,15.87250187,1.999338661,12.17888009,0.020362161,3.760642044,6.402667498,4.044316364,1.114955152,0.311430273
08JFLOK016b,L-MG-S,57.37064277,15.67069445,1.123268711,11.4894426,0.127943458,3.394600839,6.684784598,2.6368923,1.075118799,0.426611471
08JFLOK016b,L-MG-S,55.90712217,14.71912165,1.761638052,11.59646477,0.226227802,3.324890848,7.569512227,3.628573541,0.888269348,0.378179594
08JFLOK016b,L-MG-S,56.80672379,13.12889425,2.033235054,12.087382,0.099205947,3.638282563,7.473473357,3.194198043,1.159479025,0.379125972
08JFLOK016b,L-MG-S,55.61118038,17.16244188,1.454856252,9.327182411,0.231902056,2.749515079,8.376416293,3.900046627,0.895642737,0.290816282
08JFLOK016b,L-MG-S,55.76225653,15.32512521,1.505676871,10.89345216,0.307606854,3.478145687,7.594647916,3.775720113,0.986573199,0.370795457
08JFLOK016b,L-MG-S,55.86154831,14.45979013,1.392418861,12.97347331,0.183203373,3.788685504,6.83880771,3.058632495,1.050698306,0.392742001
08JFLOK016b,L-MG-S,55.10856848,15.36314791,1.242301768,11.57043422,0.228838069,3.655562161,8.381339515,3.04916712,0.91966894,0.480971811
08JFLOK016b,L-MG-S,55.79987523,15.33853585,2.059963149,11.03210075,0.167968123,3.608575006,7.35837707,3.151924407,1.163976743,0.318703676
08JFLOK016b,L-MG-S,56.42330023,15.83384209,1.208102578,9.795160911,0.211648764,3.210297511,8.147074912,3.607919871,1.134497094,0.428156039
08JFLOK016b,L-MG-S,56.81818754,14.20008648,2.017662738,11.39526339,0.166235574,3.48087986,7.221320848,3.369060129,0.920038024,0.411265416
08JFLOK016b,L-MG-S,56.5590657,14.00512699,1.767570579,11.96707428,0.100317763,3.682990795,7.10441619,3.009052159,1.410455539,0.393929999
08JFLOK016b,L-MG-S,54.20185362,15.64743571,1.862986143,11.62438476,0.210694507,3.493309303,7.685038537,3.650357504,1.208916242,0.415023681
08JFLOK016b,L-MG-S,54.26289988,14.63357957,1.846590628,12.47818085,0.225816594,4.445222493,7.12221853,3.258291364,1.259552085,0.467648
08JFLOK016b,L-MG-S,54.06427131,14.66024069,1.863248274,12.18744854,0.166712978,3.63921692,7.918838356,3.673705515,1.265686957,0.560630452
08JFLOK016b,L-MG-S,53.50630073,14.73338563,1.71698042,12.24946438,0.180021341,5.918535396,7.017126433,3.355391361,0.920269057,0.40252525
OK08-BF01-MG,MG,53.95437579,13.85671096,1.744011596,11.98101026,0.331872189,4.751639323,9.051001425,3.037321412,1.019395825,0.272661223
MG1,MG,55.96293039,15.04092539,1.677602652,10.72177501,0.294256917,3.761076913,7.295542177,3.703578435,1.285260096,0.257052019
MG2,MG,55.25271034,15.13208123,1.656741487,10.82099048,0.307935054,4.145671095,7.566040617,3.695220644,1.175752023,0.246857027
MG3,MG,55.99511019,14.52680906,1.816700058,11.19223064,0.305613094,3.487384971,7.412815376,3.725084044,1.307344901,0.230907671
MG4,MG,55.72034436,14.93765396,1.759910608,11.06737436,0.299667318,3.598547375,7.42565457,3.669654875,1.257079006,0.264113569
MG5,MG,56.14741616,15.27293648,1.600730989,10.48089614,0.301194626,3.732782835,7.347118346,3.671867068,1.214931131,0.230126231
MG7,MG,54.89813995,14.42996331,1.784132608,11.81829685,0.321396938,4.054156649,8.090598507,3.307604707,1.024927243,0.270783247
MG8,MG,53.59068253,14.35255823,1.500356017,11.34676025,0.264469535,5.950564541,9.114027057,2.843047503,0.808666463,0.228867867
MG9,MG,56.64464639,13.99349452,1.676670802,11.4047148,0.308507428,3.943529727,7.028604004,3.450588511,1.280976493,0.268267328
OLZ-3,MG,52.37983509,14.92592344,1.501642421,11.13159482,0.321780519,5.480324462,10.48468191,2.765301334,0.700543005,0.224575987
OLZ-4,MG,52.1961391,15.20481604,1.523508442,11.01769019,0.316136409,5.202798144,10.42913836,3.05374319,0.719714805,0.25559965
